proj_id,proj_show,proj_featured1,proj_featured,proj_title,proj_folder,proj_awards_title,proj_subtitle,proj_bullets,proj_num_images,proj_descr,proj_video_url,proj_category_class,proj_text_thumb
26,no,,featured,Trade Fair Complex,trade-fair-complex,"Winner of the 3rd prize at the INSDAG National Design Competition, India",Ranked 3rd prize,"Category==Trade fair pavillion | Exhibition galleries | Public spaces==Client==Insdag, India==Status==Ranked 3rd prize==Year==2006==Team==With Souporni Paul, Sourav Ray, JU, India",,"Project was to design a trade fair complex consisting of air conditioned (AC) and non air conditioned (non AC) exhibition  halls and galleries.
Our concept was to place the AC & non AC exhibition halls into separate zones, connected via an urban plaza. The AC building, was designed by placing the floor plates of the exhibition galleries offset from one another. This was a  novel approach in trade fair exhibition facilities as conventionally steel buildings of such programs are designed using a monotonous grid type arrangement, one floor placed above another. This design exemplified the extensive power of steel as a structural material with structural spans covering as long as 120m in length. The non AC halls were semi-open steel meshes, covered by FRP covering, placed on a contoured land, with landscape elements built with stainless steel. These included, lamp posts, signages, public seatings & display kiosks. <br><br>

The cantilevered floor arrangment was made possible by a structural system inspired from suspension bridges (spanning as long as 80m).  Further, the ground space that was left open (due to the suspended floors), was utilised by placing fire water reservoir, loading/unloading bay & other services. Steel landscape features such as lights, seatings etc. broke the monotony and further emphasized the power of steel as a construction and a decorative material.<br><br>",https://youtu.be/6NJqMiUL2zA,architecture,exhibition spaces
27,no,,,160M Office Tower,nanchang-boening-office,,,"Category==Office Tower | Green design==Client==With Atkins LLC, Shanghai, China==Status==Design Development==Year==2013",,"The program of this project was a 100m office tower with a set of garden atrium spaces placed at every 3rd level. Giving emphasis to chinese historical and cultural values, the tower's shape was inspired from ancient chinese abacus. The facades' design was derived from the beads concept of abacus. The top of the office tower housed an iconic chinese lantern, while the base podium of the project comprised of a shopping mall with sunken garden. This work was in collaboration with Atkins, China (Image source, Atkins, China).",,architecture,offices
28,no,,,Qingdao Horticulture Expo Center,qingdao-expo-center,,Built work under UNSTUDIO,"Category==Expo Center | Exhibition Galleries==Client==With UNStudio, Shanghai, China==Status==Construction Completed==Year==2012",16,"The project is currently built  on site at Qingdao, China for the Horticulture festival 2014. Its a culture and exhibition center housing museum, exhibition spaces and galleries. The facades' pleated surface on the side utilised continuous rainbow color pattern, simulating the effect of a colorful floral pattern. This project was done in collaboration with UNStudio, China. <br><br>

Image source, UNStudio, China.",,architecture,horticulture expo
29,no,,yes,South Nanjing Urban Plan,south-nanjing-urban-plan,,,"Category==Master plan | 500M Mixed use tower | Ecocity==Client==With W2 Architects, China==Status==Design Development==Year==2010",16,"A design scheme for an urban design competition in the southern part of the city Nanjing, China, near the newly opened Hi-Speed train Station. The site included an old historic airport area, new central business district (CBD) and the old Shanxi river. Our design highlights a landmark 500m tower, green bridge, facade re-design of a set of urban blocks near the CBD region. Our proposal aligned with the Leed Neighborhod Development Program's design guidelines. The proposed urban model recommended the old airport to be re-used as a recreational and gathering space for general public.  <br><br>

The design of the landmark 500m tower was conceptualized from the famous plum blossom of the city Nanjing. The five fingered petals were replicated as floor space while the spaces in betwen the petals were formulated as green space. The idea was to succesfully integrate urban space and green vegetation in one built environment. The tower design included wind mills on its south-east and north-east facade, and a roof-top green house observatory.  The landmark tower connected with the green bridge providing access to the river and the adjoining landscaped urban farming area. The bridge had undulating pathways and a soft covering of grass, that created spatial vareity and mitigated urban heat island effect in the neighboring region. ",,architecture,new CBD vision
30,no,,featured,Jimo Stadium,jimo-stadium-udg,,Ranked 3rd prize,"Category==Sports Complex | Stadium==Client==With United Design Group, China==Status==Design Development | Ranked 3rd Prize==Year==2012",16,"The project was a design competition entry for the Jimo Sports Complex at Qingdao city, China under UDG, Shanghai. Our team ranked 3rd in the coveted design competition. The program comprised of a 18000 seating capacity stadium alongwith a swimming arena and an indoor basketball facility. <br><br>

Image source, UDG, China.",,architecture,sports complex
31,no,,,Nantong Offices,nantong-office-complex,,,"Category==Office Complex | Retail spaces==Client==With United Design Group, China==Status==Design Proposal==Year==2011",16,"The project was a concept design proposal for the city of Nantong, China. We designed a new technology office park for the Nantong, China Ecotech Corporations. <br><br>

Image source, UDG, China.",,architecture,offices and retail
32,no,,featured,Zhuhai Office Complex,zhuhai-office-complex,,,"Category==Office Complex | Retail spaces==Client==With United Design Group, China==Status==Design Proposal==Year==2012",16,"The project was a concept design proposal for the city of Zhuhai, China. The program was to design a new office and hotel tower complex for the city, right at the central business district. <br><br>

Image source, UDG, China.",,architecture,offices and retail
33,,,featured,Canal Redevelopment Initiative,water-safe-sustainable,"Selected as top 8 best design projects in India in the Water, Safe and Sustainability Challenge",Finalist entry (top 8),"Category==Canal redevelopment | Urban design==Client==Kolkata, India==Status==Ranked top 8 best designs nationally==Year==2008",16,"This is a design competition entry for a water canal redevelopment proposal in the city of Kolkata, India. The present state of the canal needed urgent intervention interms  of cleaning and maintainence, as waste water from the surrounding neighborhoods  blocked the water flow. Noteworthy to mention that there is a metro corridor running right over the canal, thus the canal water is interevened by structural columns of the metro bridge. Our design proposal retrofits the canal into a public place where people can gather to meet, interact or rest. Furthermore, we proposed to redevlope the canal into a rainwater catchment area. The below grade space of the canal is proposed to  be used by installing on-site water treatment plants, which essentially would cleanse the dry waster water and rain water falling over the canal. This treated water can be re channelized into the neighboring housing settlements for their daily use. <br><br>

Adding to the water treatment, our proposal also modeled a mid-level urban corridor over the canal and under the metro corridor directly hanging from the metro bridge. This mid-level corridor was expected to be a place of leisure and urban rejoice for the city. This area could be used for cafes and open seating wherein people can sit and relax. ",https://youtu.be/zYFYBDxAr50,urban-design,water body redesign
34,no,,,Zhaozhuang Stadium Complex,zhaozhuang-stadium-complex,,Built work under United Design Group,"Category==Stadium Complex==Client==With United Design Group, China==Status==Construction Completed==Year==2012",16,"The project was a design competition proposal for the Zhaozhuang Sports Complex at China under UDG Shanghai in which our team ranked 1st prize. The program comprised of three stadium facilities. 
At present, construction is completed and the site is open for visitors. <br><br>

Image source, UDG, China.",,architecture,sports complex
35,no,,,Sinosteel Tower ,sinosteel-energy-studies,,,"Category==Office tower | Energy Simulations==Client==With Mad Architects, China==Status==Design Development==Year==2009",16,"This is a project in collaboration with MAD Architects, China. Its a 400m office tower cum hotel tower complex at the downtown of Tianjing city China. The parametric facade design of the tower was inspired from the honeycomb pattern system. Rhino 3D and Python scripts were used to modulate the pattern system to control for optimized daylight levels. Furthermore, Ecotects' Radiance plugin was utilised to calculate incident lux level per floor. To help optimize construction cost six types of window systems were used, ranging from size 2200mm dia to 3000mm diameter over all the facade skin. <br><br> 

Image source, Mad Architects, China.",,architecture,enery studies
36,no,,featured,Nanjing Hotel Tower,nanjing-hotel-design,,,"Category==Hotel | Retail | Dynamic Facade==Client==With W2 Architects, China==Status==Design Proposal==Year==2010",16,"The project is a re-design of an existing hotel into a 100m tall tower comprising of Hotel and Office spaces in collaboration with W2 Architects, China. The form of the tower is generated by an algorithm which is driven by sun orientation and local climatological data. Inspired from natural pattern system found in animals, the building facade responds with the environment to generate optimized performance and aesthetics. The north facade remains more uniform through out considering uniform diffuse sun radiation in the north.<br><br>

The site is studied in Ecotect and Grasshopper program to understand sun orientation and shadow effects throughout the day and the year. Grounded on weather data, the facade is designed so that the panels always make an optimal angle with the sun , to provide minimal sun radiation inside the building , which  reduces building energy loads. Solar insolation is maximum when the sun is directly facing the facade. So, the panels are inclined in a way so that reduces incident solar insolation.<br><br>

Image source, W2 Architects, China.",,architecture,parametric facade
37,no,,featured,IGBC Vision 2035,igbc-vision-2035,Winner of the 1st prize at the Indian Green Building Council's ecodesign competition,Ranked 1st Prize,"Category==Residences | Utopian House | Futuristic House==Client==IGBC, India==Status==Ranked 1st prize nationally==Year==2007==Team==With Souporni Paul, JU, India",16,"Problem was to design an ecologically sustainable and energy efficient habitat, for the year 2035. Visualising the year 2035, we designed the building to be equipped with green design features. We conceived the notion of a Womb, the ultimate genesis of human form. Architecturally, womb's shape is translated into a spheroidal form that opimizes energy consumption, and material usage while providing adequate space for comfortable living. <br><br>

Other advanced techniques used include  computer controlled photo voltaic cells, openable roof vents, rain water harvesting, air shafts, and waste water disposal systems. With global warming, and rising water levels, we envisaged by 2035 living on water would not be optional. We modeled the form of the building to be able to adapt both in land and water, owing to its shape being  buoyant in nature. Each sustainable unit will be available  with  optional plans/configurations which join up to form many configurations inhabiting different number and types of dwellers.  <br><br>

",https://youtu.be/KQvm3Dh7ZGQ,architecture,futuristic house
38,no,,featured,Trend - Fashion Museum,trend-fashion-museum,Winner of the 1st prize at the Saint Gobains' Transparence design competition,Ranked 1st Prize,"Category==Fashion Museum | Exhibition Galleries | Museum==Client==Transparence, Saint Gobain, India==Status==Ranked 1st prize nationally==Year==2007",16,"This is a winning design competition entry for the Siant Gobain Tranparence 2007 trophy. The topic of the competition was a fashion museum that contained space for fashion shows, exhibition galleries and product launch spaces for various fashion brands.The concept of the form stemmed from the word fashion which is reminiscent of emotions such as dynamic, repeatitive, continuous and perennial. Likewise the form of the built space was designed to be one continuous system of floor, wall and roof as enclosure. The building was selected to be located at the center city Kolkata, partially sub merged on a lake, imparting mesmerizing reflective appeal to the built form. <br><br>",https://youtu.be/BTQwKXm-Qrc,architecture,exhibition spaces
39,no,,featured,Multi-Agent Spatial Automation,multi-agent-spaces,,,"Category==Multi Agent System | Swarm Intelligence | 3D Space arrangement==Client==Upenn Graduate Studio, USA==Status==Masters project==Year==2009",16,"Here we developed a computational model that encodes the notion of how building blocks of architectural design can be synthesized using algorithmic approaches. Using this model, Architects can render spaces that better supports client needs such as site adjacencies, building code regulations or personal objectives that tenants may specify directly to the system.  Currently, this computational model can also generate circulation networks between clusters of program spaces. However, a future exploration of this work can further test various options of program organization within a required percentage of building circulation (as input by the user).  <br><br>

",,analytics,spatial arrangement
40,no,,featured,Space Plan Generator,space-plan-generator,Published as full paper in ACADIA 2016 conference,Published as full paper in ACADIA 2016 conference,"Category==Generative Design | Space plan automation | Automated space planning==Client==Autodesk, USA==Status==Autodesk Dynamo plugin written==Year==2016",16,"Design exploration in architectural space planning is often constrained by tight deadlines and
a need to apply necessary expertise at the right time. We hypothesize that a system that can
computationally generate vast numbers of design options, respect project constraints, and analyze
for client goals, can assist the design team and client to make better decisions. This project explains
a research venture built from insights into space planning from senior planners, architects, and
experts in the field, coupled with algorithms for evolutionary systems and computational geometry,
to develop an automated computational framework that enables rapid generation and analysis
of space plan layouts. <br><br>

Space plan generator is a computational framework (available as an Autodesk Dynamo Plugin) that automatically generates hundreds of design
options from inputs typically provided by an architect, including a site outline and program document with desired spaces, areas, quantities, and adjacencies to be satisfied. We envision that this
workflow can clarify project goals early in the design process, save time, enable better resource allocation, and assist key stakeholders to make informed decisions and deliver better designs. Further,
the system is tested on a case study healthcare design project with set goals and objectives.",https://youtu.be/Z300Vnwyfck,analytics,automated space planning
41,no,,featured,Data Models of Building Programming,data-modeling-program,,,"Category==Data Modeling | Literature Reviews | Case studies | Program Automation==Client==Perkins Will and DBL, Georgia Tech, USA==Status==Autodesk Dynamo software plugin==Year==2015",16,"Describes literature reviews, case studies and a data model output of the building programming process for healthcare architects and planners. Also explains an Autodesk Dynamo plugin that automates generating building program arrangements based on specified constraints and program adjacencies.",,analytics,healthcare planning
42,no,,,Changzhou Museum,changzhou-museum,,,"Category==Museum | Public Plaza | Green Park==Client==With United Design Group, China==Status==Design Proposal==Year==2012",16,"Collaborated with UDG, China to present this design of a 370 000 sqm Cultural Center and Museum for the city of  Changzhou in China to an invited design competition. Our design entry was established using the principles of preservation of green parks in the city. The museum building was integrated with an existing green park by modeling a beautifully designed smooth surface that flows into the building from the plaza. Under the plaza, we provided spaces for retail, cafes, and restaurants to increase public access to entertainment and shopping. <br><br>

Image source, UDG, China. ",,architecture,galleries and green park
43,no,,,Quanzhou Hotel,quanzhou-hotel,,,"Category==Hotel | Urban Plaza | Green Park | Retail==Client==With Atkins LLC, China==Status==Design Development==Year==2014",16,"In collaboration with Atkins, China, presented this hotel design with a green park, urban plaza, and retail spaces. Various facade studies were done to formulate a design option that is iconic, modern, and provides optimal daylighting and scenic views to every room in the hotel towers. <br><br>

Image source, Atkins LLC,  China.",,architecture,hotel and green park
44,no,,,Healthcare plan optimization,healthcare-plan-optimization,Published as full paper in Ecaade 2016 conference,Published as full paper in Ecaade 2016 conference,"Category==Healthcare planning | Design Automation | Optimization| Retail==Client==With Dr. John Haymakers' Studio at Georgia Tech, USA==Status==Masters group project==Year==2015",16,"Healthcare design projects require careful integration of spatial and structural requirements. Today, design teams typically resolve these requirements in two separate, largely sequential steps. In the first step, architects leverage their experience and vision to develop space plans that address program and goals. Next, based on the architect's recommended design, engineers generate and refine a structural design to address structural requirements. This manual process produces a very limited number of non-optimal spatial and structural design solutions with unclear decision rationale. This project presents an Integrated Spatial-Structural Optimization (ISSO) decision making methodology. ISSO supports design teams by helping them generate, analyze, and manage a vast number of integrated spatial and structural solutions. ISSO features a bi-level optimization workflow that has been customized for spatial and structural design of healthcare facilities. Our work describes implementation in the Autodesk's Dynamo parametric modeling platform, and retrospective validation of the algorithm and workflow on an industry case study to demonstrate how our model can help design teams quickly generate, analyze, and manage more conceptual design options.",,analytics,generative design
45,no,,featured,Service Core Generator,service-core-generator,Published as full paper in Ecaade 2016 conference,Published as full paper in Ecaade 2016 conference,"Category==Generative Design | Automated Service Core Generation | Automated space planning==Client==Autodesk, USA==Status==Autodesk Dynamo plugin written==Year==2015",16,"	Building design entails an intuitive and informative exploration of an architect involving iterative refinement of design ideas until client objectives, and priorities are satisfied. Similarly, service cores in a building are designed through the exploration of multifarious design options each with different performative metrics regarding accessibility, efficiency, cost, feasibility, etc. As the current process is labor-intensive, manual & dependent on the expertise of the architect, the search space leading to the selection of an optimal design alternative is very limited. This project describes Service Core Generator (SCG), a library in Autodesk Dynamo enabling automated generation of service core models for varied building shell geometry types (limited to orthogonal profiles). The tool described encodes explicit and implicit domain knowledge into the system, facilitating service core models for buildings across varied scale with varied use type's including offices, hotels, and residential buildings.",https://youtu.be/DpTpaGJWpV8,architecture,automated service core placement
46,no,,,Malaysia Island Vision,malaysia-island,,,Category==Urban plan | Island concept | Futuristic city==Client==With Alain Roberts==Status==Design proposal | Feasibility Studies==Year==2014,16,Futurstic ecocity vision for a new island on the coast of Malaysian port.,,urban-design,ecocity
47,,,,Origin Destination Spatial Analytics,origin-dest-analytics,Published as full paper in Ascaad 2016 conference,Published as full paper in Ascaad 2016 conference,"Category==Spatial Analytics | Origin Destination Data | Web Application==Client== Georgia Tech, USA==Status==Masters project==Year==2015",16,"The project addresses the issue of spatial mismatch of jobs and the accessibility to job locations based on different age, income and industry group. Taking Atlanta as a case study, we developed a geospatial analysis tool enabling developers, the city planning bureau and the residents to identify potential sites of redevelopment with better economic development opportunities. It also aids to find potential location to live with respect to users' choices for transit options, walkability, job location and proximity to chosen land use. We built our model on a block level in the city, imparting them a score, visualizing the data as a heat map. The metrics to compute the score included proximity to job, proximity to workers' residence, transit availability, walkability and number of landmark elements near the site. We worked with Longitudinal Employer-Household Dynamics (LEHD) Data along with residence area characteristics (RAC) and work place area characteristic (WAC) data sets, where the total number of data-points was over 3 million. It was challenging for us to optimize computation such that the prototype performs statistical analysis and updates visualization in real time. The research further is prototyped as a web application leveraging Leaflets' Open Street Maps API and D3 visualization plugin. The research showed that there is a high degree of spatial mismatch between home and job locations with very few jobs with driving distance within 5 -10 miles with limited transit options in Atlanta. Further, it showed that low-earning workers need to travel significantly larger distance for work compared to higher class.",,urban-planning,urban informatics
48,,,,Responsive Facade System,responsive-facade,Published in IJAC journal and CAADRIA conference 2012,Published as full paper in IJAAC journal and CAADRIA conference 2012,"Category==Responsive surfaces | Intelligent Facades | Interactive tangible systems==Client== Graduate work (under Prof. Jenny Sabin and Dr. Peter Lloyd Jones), Upenn, USA==Status==Published research==Year==2012",16,"The fundamental processes in living systems can be a potential resource to derive nonlinear relationships that could find application in the design of responsive surface from an architectural standpoint. This research focuses on deriving a parametric relationship from a phenomenon in cell biology to generate an architectural expression of responsive surface/facade. It further delineates the dynamic feedback mechanism from the environment and user as control factors. Through extensive investigation of cell-to-cell connections in the mammary epithelial cells and review of evident relay of communication across the entire system of cells, we could unfold the logical parameters of the biological system. Parametric modelling indicating the causality of the surface condition, changes with the change in extracellular matrix. This gives an opportunity to manoeuvre the surface parameters, contrary to the involuntary cell environment where the behaviours are under the control of a physiological process. Architecturally, the dynamic relationship of surface in a hybridised model, explains that interactivity is not a mere one to one response to a stimulus. Evidently, this interactive process can be a sophisticated loop of feedback through different materiality and componentry that play their effects (and are played back) by active surfaces.",,architecture,intelligent membranes
49,no,,,JAD Korea Extended Space,jad-korea-vision,,,"Category==Kinetic spaces | Intelligent structures | Extensible architecture==Client== JAD Trust Agency, South Korea==Status==Design Entry==Year==2011",16,"Offices grow over time, but the spaces they rent, stay the same (in terms of size). People need more space to accomodate their work force. This project is a proposal to extend floor spaces in existing office buildings to give people an opportunity to extend habitable spaces to interact, work and live. Using L system algorithms and kinetic architecture concepts, we visualized a futuristic temporary shelter that can be cantilevered from existing office buildings  to allow extra square footage for developers or existing tenants.",,design,kinetic architecture
50,no,,,M-House,m-house,,,Category==Kinetic spaces | Modular structure | Extensible spaces==Client== Confidential==Status==Design Entry==Year==2010,16,"Vision for a kinetic house, which can be spatially organized based on the requirements of the user.",,architecture,extensible house
51,no,,,Manhatten Prefab Houses,manhatten-prefabs,,,Category==Rooftop Architecture | Prefabricated structure | Modular==Client== With ArX New York under Frederic Levrat==Status==Design Development==Year==2010,16,Vision and a design proposal for a set of prefabricated rooftop apartments as modular units.,,architecture,prefabricated house
52,no,,featured,Piknik Recipe Making Game,piknik-recipe,,,"Category==Gaming Device | Product design | Kids toys==Client== Georgia Tech, USA==Status==Protoyping and User study==Year==2014",16,"Through research, we observed that parents often are troubled when they go grocery shopping with their children. Kids become bored and irritated in these public places and they throw tantrums. This irritation  wears down parents, and creates an undesirable experience for both the parent and the child. <br><br>

 In order to alleviate users' shopping experience, our goal was to create an engaging experience for children who visit grocery stores with their parents,. We brainstormed ten initial designs as a starting point for getting to a potential solution. Out of these, we narrowed down to three strong candidates whichseemed promising. We investigated each design from angles of cognitive, social, economical, anthropomorphic, and technological feasibility. From feedback and further refinement, we arrived at a final design - PIKNIK. Our idea was to design and prototype a recipe creation game. This application would be loaded on a colorful, ergonomic tablet, provided by the grocery store to empower kids to become a virtual chef. The tablets' interface would allow kids to scan grocery products from the store, view nutritional aspects of those products, and using these ingredients engage them in the shopping experience while they make their recipe. We set out to prototype this idea and further gather user feedback through evaluation.  We prototyped our game on a tablet, and conducted user studies with kids between the age of 4-10. While both kids and their parents loved our idea and the initiative,  we identified  several usability issues in our initial prototype. Based on the feedback. we finally refined our prototype to develop the final version of the game.",https://youtu.be/GcehRcfxqaU,design,kids
53,no,,,Tea-CUP ,teacup,,,"Category==Utensil Design | Artifact | Product design | Tea cup==Client==Bund Shanghai Initiative, China==Status==Design Entry==Year==2021",16,"Chinese culture has imbibed drinking tea for ages. Be it meeting between friends, families or professional business delegates. Drinking tea always has been a starting point of conversations, new relations and strengthening old ones. teaCUP is inspired from the beautiful and timeless monument to the People's Heroes sculpture situated at Shanghai Bund. The form not only resonates the monument but also imbibes in it similar qualities of strength, serenity, and unity. Functionally these tea cups can keep any liquid warm for longer hours like a thermos.  Thus, the presented artifacts are perfect for drinking warm tea for extended hours.
These utenisls can be built using ceramics, stainless steel coatings, or with colored glass. They can be varied in form and color to create variety yet preserving the design theme that implicitly resonates the People's Heroes monument. ",https://youtu.be/ZZ0VTiVR_K4,design,utensil design
54,,,featured,Pinnacle Silicon Valley,silicon-valley-urban,,,"Category==Sculpture | Urban Park Retrofit | Place making==Client==San Jose Light House Trust, USA==Status==Design Entry==Year==2020",16,"San Jose is placed at the heart of Silicon Valley. It is a global magnet attracting ideas, talent, and investment motivated to improve peoples' lives. This is made possible by the exchange of ideas that includes people from diverse parts of the world with diverse experiences. Our design celebrates this notion of 'inclusivity', that is the life-blood of Silicon Valley. We present Pinnacle, a 185 ft high landmark structure built with light and durable carbon fiber reinforced polymer composites that provide a semi-shaded iconic space that is memorable and eventful. This structure represents inclusiveness, collaboration, and the notion of diversity that brings people together. Functionally it shades a sunken courtyard and a set of watchtowers. These spaces encourage people watching and public interaction. The watchtower allows users to experience the neighboring area of the site including the beautiful cityscape of San Jose from multiple levels (40 ft and 60 ft high). <br><br>

The sunken court is adjoined by green grass mounds that inhabit spaces such as cafes, restaurants, bars, libraries, and interactive communal rooms (40k sqft area). The green mounds are designed to encourage outdoor sports activities such as running, hiking, biking, etc. More importantly, the sunken court is carefully designed to create a natural barrier between the interaction space and the natural riparian habitat that adjoins the site. Furthermore, we place a thick vegetative cover as a green park between the Guadalupe River and the sunken court to obstruct glare from artificial light at night. Our lighting design strategy places two kinds of light. The first is a LED strip channel lighting carefully encased in a carbon fiber reinforced polymer channel at the top of the Pinnacle. This design creates a continuous blue light source for diffused lighting at night, reducing glare and visual disturbance to the birds, insects, fishes, etc. The second light source is the LED spot lights placed on ground that is shielded by metal protectors and by the sunken courtyard's design. These lighting techniques allow the proposed space to be activated 18 hours a day and 7 days a week. Our proposed plan preserves the existing sculpture 'Five Skaters' in its original location near the N Autumn street. However, we propose to relocate the pool to two entry plazas as seen in our site plan. We further relocate the children's carousel and the tot-lot playground into the green vegetation area near the river. <br><br>",https://youtu.be/PiAbNT8avuU,urban-design,park sculpture and shade
55,,,featured,Stage Street Entertainment District,stage-street-uli,"Selected as a finalist (top 4) design proposal in the Urban Land Institute (ULI), USA Design Competition",Finalist (top 4) Design Entry,"Category==Urban Design | Entertainment District | Place making==Client==Urban Land Institute (ULI), USA==Status==Shortlisted as top 4 (finalist) best entries==Year==2016==Team==With Yihan Wu, Shijia Huang, and Megan McMullen, Georgia Tech, USA",16,"Design proposal for the prestigious Urban Land Institute Design Competition. The site given was in midtown Atlanta, USA, where we proposed to redevelop it as an entertainment district which will be active 18 hours a day and 7 days of the week. We also proposed a collection of mixed use programs including, offices, high-end residences, affordable housing, retail spaces, banks, bars, shops, malls, cinemas and movie theater areas. <br><br>

In theatre and film, the screen forms an imaginary fourth wall, separating the audience from the action within the fictitious world.  Just as innovative thespians have broken the fourth wall to engage directly with their audience, the Stage Street design would break the fourth wall of Atlanta culture by blurring the boundaries of public and private spaces and inviting users to engage in a shared life. Elements such as plazas, balconies, rooftops, outdoor dining, a linear park, and event spaces create stages to see and be seen. Special attention was given to the ground floor of buildings, using a continuous street wall, facade transparency, activation, detailing, and variation to create an inviting pedestrian environment. The design uniquely blended entertainment industry, culture, and social spaces to create a dynamic, mixed-use development. <br><br>

",,urban-design,entertainment district
56,no,,,Automobile home,automobile-home,,,"Category==Complex Geometry | Non-linear design system | Prefabricated components==Client==Graduate Studio, Upenn, USA==Status==Masters Project==Year==2009",16,"As part of graduate studio at Upenn, we investigated how architecture and mobility can inform each other to conceive an innovative housing solution.  The design was formulated from a parametric module, design and developed in Autodesk's Maya software. Spatial arrangements were composed by intelligent juxtapostions and connections of a base parametric module. This gave rise to multiple design expressions alongwith volume enclosure possbilities that was able to accomodate one bedroom to duplex four bedroom units. Some modules supported a combination of inclined and flat floors. Flat floors were used for formal areas like living, bedroom, etc , while the inclined floors were used to house informal areas like gathering spaces, children play areas etc. Also, each of the unit had a roof garden that helped integrate the landscape into the building. ",,architecture,advanced parametric modeling
57,no,,featured,Ecaade Graphic Illustrations,ecaade-poster-design,,,Category==Poster | Graphic Design | 2D Artwork==Client==Ecaade==Status==Design Entry==Year==2012,16,"
This is a concept graphic art illustration for the Ecaade Poster Design Competition. Theme of the conference was to celebrate the use of parametric design and artificial intelligence in design. Experimented with a varied set of textured and emotive graphic art boards depicting the impact and relevance of advanced design computing, parametrics and artificial intelligence in computer-aided advanced design methodology.",,design,graphic illustration
58,no,,,Kinetic Prototype Explorations,kinetic-components-fab,,,"Category==Prototyping | Fabrication | Kinetic components==Client==Upenn Graduate Work, USA==Status==Prototyped components==Year==2009",16,"Design prototypes of a collection of kinetic design components. We studied the works of Chuck Hobbermans pionering contribution in the field of kinetic design and application.
The line drawings represents the state of the object in different positions as the component is interacted with. Different configuration of the component were tested by using various joint configurations. The process exemplified that different means of aggregation leads to different deformations, and different kinetics. The design and the movement of the components were analyzed in Bentleys' Generative Components software. 
",,architecture,fabricated pieces
59,no,,,Haiti Tent Modular School,haiti-tent-school,,,"Category==Design Exploration | Form Study and concept | Modular School==Client==In collaboration with Terraform1, NY, USA==Status==Design Development==Year==2010",16,"The project was a welfare charity work for a destroyed school in Haiti, in association with Terraform1 and Korebel. The idea was to design pre-fabricated light-weight tent like structures, which could be shipped to the site. Each small tent was designed to hold 3-4 classrooms containing 35-40 students. Water-tight semi translucent fabrics were used as the tent covering material;  these covers not only illuminated the interior but also were capable to keep the interior space water free from rain and dust. The graphic illustrations of the tents' fabric were posted online to raise funds for the project.",,architecture,modular structures
60,no,,,Serpentine Pavillion ,serpentine-pavellion,,,"Category==Pavillion | Canopy | Advanced parametric modeling==Client==Graduate work at Upenn, USA==Status==Masters project==Year==2009",16,"Digital exploration of fluid parametric modeling using Autodesks' Maya, Rhino, and the Pepacura software program. The project is to design an exhibition pavilion for the Serpentine Gallery in London, UK. The duration of the project was a week long intense workshop at Upenn. Initial approach was to design complex components which could be three dimensionally aggregated to generate the pavillions' surface.",,architecture,galleries and exhibits
61,,,,Simulation and Design,simulation-and-design,,,"Category==Energy Modeling | Form finding | Simulated Geometry==Client==Graduate work at Upenn, USA==Status==Masters project==Year==2009",16,"The goal of this project was to re-design the Levine building in Philadelphia, USA to enhance its energy efficiency and indoor comfort quality. Software used to test energy consumption and assess indoor comfort were Ecotect, Energy 10, Radiance, Lightscape, Flovent, VisualDoe, Energyplus, and DesignBuilder. The idea was s to design a L-shaped building so that it creates a courtyard on the southwest direction where, the incoming summer wind shall create natural ventilation. A  steel louvered wall in the north-east direction  blocked the uncomfortable winter wind.<br><br> 

Further, CFD analysis showed better wind circulation in and around the building due to the proposed design. CFD wind analysis of the existing site condition and its neighborhood  was performed in the Flovent wind simulation software. It showed the attributes of wind in the neighborhood like, pressure variation temperature and viscoisty variation etc.The roof of the building was covered with Photo voltaic cells, to harness solar energy. Also the north and east facade were shielded with steel foldable louvres, that helped in gaurding the buiding from undesirable wind. The south-east courtyard contained a small water body, which drastically helped to cool down the hot summer micro climate of the building. It also acted as a leisure space for residents. <br><br> 
",,architecture,simulation studies
62,no,,,Haikou Sports Park,haikou-stadium-udg,,Ranked 1st Prize,"Category==Sports Complex | Stadium==Client==With United Design Group, China==Status==Design Development | Ranked 1st Prize==Year==2011",16,"The project was a 1st prize winning sports facility and leisure park masterplan cum architecture design in the province of Haikou in South China in collaboration with UDG, China. Developed the BIM model in ArchiCAD and the parametric model in Rhino and Autodesks'  Maya software that contained the stadiums and the roof systems.  <br><br>

Image Source, UDG, China.",,architecture,sports park
63,no,,featured,Fushion Exhibition Gallery,fushun-exhibition-udg,,,"Category==Exhibition and Museum Complex | Stadium==Client==With United Design Group, China==Status==Concept Proposal==Year==2011",16,"The project was a concept design proposal for the city of Fushun, China. The program was to design a new museum cum exhibition gallery for the city, at the central business district.",,architecture,exhibition spaces
64,no,,,Yingkou Music City,yingkou-music-city,,Ranked 1st Prize,"Category==Music City | Waterfront development==Client==With United Design Group, China==Status==Concept Proposal | Ranked 1st prize==Year==2011",16,"The project was an urban design masterplan competition entry for the city of Yingkou at North China. The program was to design a new music city comprising of music school, museums, exhibition spaces, and a music shopping district to revamp existing local music art craft and businesses. <br><br> 

Image Source, UDG, China.",,urban design,rythm and harmony
